Id,Clean_Status__c,Delete_Reason__c,In_HubSpot_Not_Inclusion_List__c,Sync_Status__c,Description
0032A00002ayyvCQAQ,Delete,No Email or Phone,false,Not Synced,
0032A00002ayyvYQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyvZQAQ,Delete,No Email or Phone,false,Not Synced,
0032A00002ayyvdQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyvlQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyvuQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyvvQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyw2QAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayywHQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayywLQAQ,Delete,No Email or Phone,false,Not Synced,
0032A00002ayywPQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayywiQAA,Delete,Inactive 3+ Years,false,Not Synced,
0032A00002ayywkQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayywmQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyx1QAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyx7QAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyxHQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyxKQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyxLQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyxeQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyyCQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyyOQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyyUQAQ,Delete,No Email or Phone,false,Not Synced,
0032A00002ayyypQAA,Delete,No Email or Phone,false,Not Synced,
0032A00002ayyzRQAQ,Delete,Inactive 3+ Years,false,Not Synced,
0032A00002ayyzyQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz01QAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz04QAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz08QAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz0FQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz0HQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz0NQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz0RQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz0XQAQ,Delete,No Email or Phone,false,Not Synced,
0032A00002ayz0wQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz10QAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz1GQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz1ZQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz1aQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz1dQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz1lQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz2AQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz2YQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz2lQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz2tQAA,Delete,No Email or Phone,false,Not Synced,
0032A00002ayz2yQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz2zQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz3HQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz3OQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz3WQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz3mQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz4DQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz4GQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz4IQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz4UQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz4hQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz4rQAA,Delete,No Email or Phone,false,Not Synced,
0032A00002ayz4wQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz5AQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz5LQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz5UQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz5XQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz5oQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz5qQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz5uQAA,Delete,No Email or Phone,false,Not Synced,
0032A00002ayz5zQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz6IQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz6KQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz6NQAQ,Delete,No Email or Phone,false,Not Synced,
0032A00002ayz6OQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz6WQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz6lQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz6tQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz76QAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz77QAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz7EQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz7TQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayz7hQAA,Delete,No Activity 3+ Years,false,Not Synced,
