Id,Clean_Status__c,Delete_Reason__c,In_HubSpot_Not_Inclusion_List__c,Sync_Status__c
0032A00002az0djQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0dmQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0dpQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0dsQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0e0QAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0eQQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0eTQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0edQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0erQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0esQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0euQAA,Delete,No Email or Phone,false,Not Synced
0032A00002az0eyQAA,Delete,Inactive 3+ Years,false,Not Synced
0032A00002az0f7QAA,Delete,Inactive 3+ Years,false,Not Synced
0032A00002az0fnQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0fxQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0g9QAA,Delete,No Email or Phone,false,Not Synced
0032A00002az0gCQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0gFQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0gMQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0gRQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0gSQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0gYQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0goQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0guQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0h1QAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0h2QAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0h6QAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0h7QAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0hNQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0hRQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0hbQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0hiQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0hnQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0i3QAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0i6QAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0i7QAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0iOQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0iXQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0ibQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0ieQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002az0ilQAA,Delete,No Activity 3+ Years,false,Not Synced
