Id,Clean_Status__c,Sync_Status__c
0033j000049EsnlAAC,OK,Not Synced
0033j000049F3SSAA0,OK,Not Synced
0033j000049F3ZOAA0,OK,Not Synced
0033j000049F4RaAAK,OK,Not Synced
0033j000049F4TgAAK,OK,Not Synced
0033j000049FCctAAG,OK,Not Synced
0033j000049FDdHAAW,OK,Not Synced
0033j000049FDiRAAW,OK,Not Synced
0033j000049FDwiAAG,OK,Not Synced
0033j000049FDy3AAG,OK,Not Synced
0033j000049FE1TAAW,OK,Not Synced
0033j000049FE8ZAAW,OK,Not Synced
0033j000049FE8aAAG,OK,Not Synced
0033j000049FE8bAAG,OK,Not Synced
0033j000049FE8cAAG,OK,Not Synced
0033j000049FE8dAAG,OK,Not Synced
0033j000049FELbAAO,OK,Not Synced
0033j000049FF3kAAG,OK,Not Synced
0033j000049FF6yAAG,OK,Not Synced
0033j000049FF9EAAW,OK,Not Synced
0033j000049FFAxAAO,OK,Not Synced
0033j000049FFFWAA4,OK,Not Synced
0033j000049FFLeAAO,OK,Not Synced
0033j000049FGA3AAO,OK,Not Synced
0033j000049FGWsAAO,OK,Not Synced
0033j000049FHjiAAG,OK,Not Synced
0033j000049FHmwAAG,OK,Not Synced
0033j000049FHn1AAG,OK,Not Synced
0033j000049FK0CAAW,OK,Not Synced
0033j000049FK0DAAW,OK,Not Synced
0033j000049FKCiAAO,OK,Not Synced
0033j000049FLNSAA4,OK,Not Synced
0033j000049FLNTAA4,OK,Not Synced
0033j000049FLNUAA4,OK,Not Synced
0033j000049FLtOAAW,OK,Not Synced
0033j000049FM2kAAG,OK,Not Synced
0033j000049FMJaAAO,OK,Not Synced
0033j000049FMJpAAO,OK,Not Synced
0033j000049FMauAAG,OK,Not Synced
0033j000049FMeDAAW,OK,Not Synced
0033j000049FMeEAAW,OK,Not Synced
0033j000049FMeFAAW,OK,Not Synced
0033j000049FMgKAAW,OK,Not Synced
0033j000049FMmCAAW,OK,Not Synced
0033j000049FMmHAAW,OK,Not Synced
0033j000049FMnZAAW,OK,Not Synced
0033j000049FMpQAAW,OK,Not Synced
0033j000049FNrKAAW,OK,Not Synced
0033j000049FNuNAAW,OK,Not Synced
0033j000049FO0XAAW,OK,Not Synced
0033j000049FO0ZAAW,OK,Not Synced
0033j000049FO3dAAG,OK,Not Synced
0033j000049FO3eAAG,OK,Not Synced
0033j000049FO3fAAG,OK,Not Synced
0033j000049FO5eAAG,OK,Not Synced
0033j000049FO5jAAG,OK,Not Synced
0033j000049FO5tAAG,OK,Not Synced
0033j000049FO9qAAG,OK,Not Synced
0033j000049FO9rAAG,OK,Not Synced
0033j000049FOCfAAO,OK,Not Synced
0033j000049FOD9AAO,OK,Not Synced
0033j000049FOF0AAO,OK,Not Synced
0033j000049FOF1AAO,OK,Not Synced
0033j000049FOGNAA4,OK,Not Synced
0033j000049FOITAA4,OK,Not Synced
0033j000049FOIUAA4,OK,Not Synced
0033j000049FONsAAO,OK,Not Synced
0033j000049FOfZAAW,OK,Not Synced
0033j000049FPQdAAO,OK,Not Synced
0033j000049FPQsAAO,OK,Not Synced
0033j000049FPVxAAO,OK,Not Synced
0033j000049FPZzAAO,OK,Not Synced
0033j000049FQcuAAG,OK,Not Synced
0033j000049FSsQAAW,OK,Not Synced
0033j000049FT1wAAG,OK,Not Synced
0033j000049FT3dAAG,OK,Not Synced
0033j000049FT3eAAG,OK,Not Synced
0033j000049FT3fAAG,OK,Not Synced
0033j000049FT3gAAG,OK,Not Synced
0033j000049FT3hAAG,OK,Not Synced
0033j000049FT5vAAG,OK,Not Synced
0033j000049FT5xAAG,OK,Not Synced
0033j000049FT5yAAG,OK,Not Synced
0033j000049FT5zAAG,OK,Not Synced
0033j000049FTMGAA4,OK,Not Synced
0033j000049FTMHAA4,OK,Not Synced
0033j000049FTMIAA4,OK,Not Synced
0033j000049FTwJAAW,OK,Not Synced
0033j000049FUBHAA4,OK,Not Synced
0033j000049FUBIAA4,OK,Not Synced
0033j000049FUBJAA4,OK,Not Synced
0033j000049FUBKAA4,OK,Not Synced
0033j000049FUBLAA4,OK,Not Synced
0033j000049FUBMAA4,OK,Not Synced
0033j000049FUBNAA4,OK,Not Synced
0033j000049FUBOAA4,OK,Not Synced
0033j000049FUBPAA4,OK,Not Synced
0033j000049FUBRAA4,OK,Not Synced
0033j000049FUBSAA4,OK,Not Synced
0033j000049FUBTAA4,OK,Not Synced
0033j000049FUBUAA4,OK,Not Synced
0033j000049FUBVAA4,OK,Not Synced
0033j000049FUIBAA4,OK,Not Synced
0033j000049FUKMAA4,OK,Not Synced
0033j000049FUPMAA4,OK,Not Synced
0033j000049FUPNAA4,OK,Not Synced
0033j000049FUQtAAO,OK,Not Synced
0033j000049FUVjAAO,OK,Not Synced
0033j000049FUf0AAG,OK,Not Synced
0033j000049FUsxAAG,OK,Not Synced
0033j000049FVNIAA4,OK,Not Synced
0033j000049FW1lAAG,OK,Not Synced
0033j000049FWF4AAO,OK,Not Synced
0033j000049FWSSAA4,OK,Not Synced
0033j000049FXLXAA4,OK,Not Synced
0033j000049FXMQAA4,OK,Not Synced
0033j000049FXQDAA4,OK,Not Synced
0033j000049FXQXAA4,OK,Not Synced
0033j000049FfEKAA0,OK,Not Synced
0033j000049FgBuAAK,OK,Not Synced
0033j000049FgCxAAK,OK,Not Synced
0033j000049FgDvAAK,OK,Not Synced
0033j000049FgDwAAK,OK,Not Synced
0033j000049FgDxAAK,OK,Not Synced
0033j000049FgDyAAK,OK,Not Synced
