"sf__Id","sf__Created",Id,Clean_Status__c,Delete_Reason__c,In_HubSpot_Not_Inclusion_List__c,Sync_Status__c
"0032A00002az0DPQAY","false","0032A00002az0DPQAY","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0DdQAI","false","0032A00002az0DdQAI","Delete","No Email or Phone","false","Not Synced"
"0032A00002az0DqQAI","false","0032A00002az0DqQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0DxQAI","false","0032A00002az0DxQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0E5QAI","false","0032A00002az0E5QAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0EJQAY","false","0032A00002az0EJQAY","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0EMQAY","false","0032A00002az0EMQAY","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0EmQAI","false","0032A00002az0EmQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0EzQAI","false","0032A00002az0EzQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0F0QAI","false","0032A00002az0F0QAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0FCQAY","false","0032A00002az0FCQAY","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0FbQAI","false","0032A00002az0FbQAI","Delete","No Email or Phone","false","Not Synced"
"0032A00002az0FcQAI","false","0032A00002az0FcQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0FgQAI","false","0032A00002az0FgQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0GeQAI","false","0032A00002az0GeQAI","Archive","Old Inactive Contact","false","Not Synced"
"0032A00002az0GgQAI","false","0032A00002az0GgQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0GpQAI","false","0032A00002az0GpQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0HGQAY","false","0032A00002az0HGQAY","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0HHQAY","false","0032A00002az0HHQAY","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0HKQAY","false","0032A00002az0HKQAY","Delete","No Activity 3+ Years","false","Not Synced"
