"sf__Id","sf__Error",Id,In_HubSpot_Not_Inclusion_List__c,Sync_Status__c
"0032A00002vaxX6QAI","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002vaxX6QAI","true","In HubSpot - Not Synced"
"0033j00003SA3I1AAL","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0033j00003SA3I1AAL","true","In HubSpot - Not Synced"
"0033j00003gTs6IAAS","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0033j00003gTs6IAAS","true","In HubSpot - Not Synced"
"0033j00003kftljAAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0033j00003kftljAAA","true","In HubSpot - Not Synced"
"0033j00003wOSywAAG","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0033j00003wOSywAAG","true","In HubSpot - Not Synced"
"0033j00003wOT37AAG","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0033j00003wOT37AAG","true","In HubSpot - Not Synced"
"0033j00003wOTJuAAO","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0033j00003wOTJuAAO","true","In HubSpot - Not Synced"
"0033j00003wOUAZAA4","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0033j00003wOUAZAA4","true","In HubSpot - Not Synced"
"0033j00003wOUr0AAG","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0033j00003wOUr0AAG","true","In HubSpot - Not Synced"
"0033j00003wOUrSAAW","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0033j00003wOUrSAAW","true","In HubSpot - Not Synced"
"0033j00003wOUuxAAG","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0033j00003wOUuxAAG","true","In HubSpot - Not Synced"
"0033j00003wOUv5AAG","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0033j00003wOUv5AAG","true","In HubSpot - Not Synced"
"0033j00003wOUx1AAG","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0033j00003wOUx1AAG","true","In HubSpot - Not Synced"
"0033j00003wOUxEAAW","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0033j00003wOUxEAAW","true","In HubSpot - Not Synced"
"0033j00003wOV0bAAG","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0033j00003wOV0bAAG","true","In HubSpot - Not Synced"
"0033j00003wOV0hAAG","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0033j00003wOV0hAAG","true","In HubSpot - Not Synced"
"0033j00003wOV0zAAG","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0033j00003wOV0zAAG","true","In HubSpot - Not Synced"
"0033j00003wOV14AAG","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0033j00003wOV14AAG","true","In HubSpot - Not Synced"
"0033j00003wOV17AAG","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0033j00003wOV17AAG","true","In HubSpot - Not Synced"
"0033j00003wOVaiAAG","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0033j00003wOVaiAAG","true","In HubSpot - Not Synced"
"0033j00003wOWjxAAG","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0033j00003wOWjxAAG","true","In HubSpot - Not Synced"
"0033j00003wOWkJAAW","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0033j00003wOWkJAAW","true","In HubSpot - Not Synced"
"0033j00003wOYayAAG","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0033j00003wOYayAAG","true","In HubSpot - Not Synced"
"0033j00003wOa4aAAC","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0033j00003wOa4aAAC","true","In HubSpot - Not Synced"
"0033j00003wObqrAAC","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0033j00003wObqrAAC","true","In HubSpot - Not Synced"
"0033j00003wOgK1AAK","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0033j00003wOgK1AAK","true","In HubSpot - Not Synced"
"0033j00003wOrPJAA0","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0033j00003wOrPJAA0","true","In HubSpot - Not Synced"
"0033j00003wOrg1AAC","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0033j00003wOrg1AAC","true","In HubSpot - Not Synced"
"0033j00003wOrqTAAS","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0033j00003wOrqTAAS","true","In HubSpot - Not Synced"
"0033j00003wOrqsAAC","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0033j00003wOrqsAAC","true","In HubSpot - Not Synced"
