"sf__Id","sf__Error",Id,Clean_Status__c,Delete_Reason__c,In_HubSpot_Not_Inclusion_List__c,Sync_Status__c
"0033j000047Z6IXAA0","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000047Z6IXAA0","Duplicate","Master: 0033j000047Z6GCAA0","false","Not Synced"
"0033j000047Z6IxAAK","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000047Z6IxAAK","Duplicate","Master: 0033j000047Z6JOAA0","false","Not Synced"
"0033j000047Z6LyAAK","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000047Z6LyAAK","Duplicate","Master: 0033j000047Z6IKAA0","false","Not Synced"
"0033j000047Z6MEAA0","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000047Z6MEAA0","Duplicate","Master: 0033j000047Z6JMAA0","false","Not Synced"
"0033j000047Z6MYAA0","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000047Z6MYAA0","Duplicate","Master: 0033j000047Z6JMAA0","false","Not Synced"
"0033j000047Z6MaAAK","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000047Z6MaAAK","Duplicate","Master: 0033j000047Z6JMAA0","false","Not Synced"
"0033j000047Z6XNAA0","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000047Z6XNAA0","Duplicate","Master: 0032A00002X2IeOQAV","false","Not Synced"
"0033j000047Z6dYAAS","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000047Z6dYAAS","Duplicate","Master: 0033j00003wOwizAAC","false","Not Synced"
"0033j000047Z6wSAAS","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000047Z6wSAAS","Duplicate","Master: 0033j000047Z6qbAAC","false","Not Synced"
"0033j000047Z6yEAAS","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000047Z6yEAAS","Duplicate","Master: 0033j000047Z6zTAAS","false","Not Synced"
"0033j000047Z76UAAS","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000047Z76UAAS","Duplicate","Master: 0032A00002azrISQAY","false","Not Synced"
"0033j000047ZANJAA4","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000047ZANJAA4","Duplicate","Master: 0033j00003wOfGxAAK","false","Not Synced"
"0033j000047ZQwnAAG","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000047ZQwnAAG","Duplicate","Master: 0033j000047ZQwNAAW","false","Not Synced"
"0033j000047ZS1nAAG","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000047ZS1nAAG","Duplicate","Master: 0033j00003gTwOUAA0","false","Not Synced"
"0033j000047ZYLMAA4","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000047ZYLMAA4","Duplicate","Master: 0032A00002az1YBQAY","false","Not Synced"
"0033j000047zWIRAA2","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000047zWIRAA2","Duplicate","Master: 003Rh00000Y5zldIAB","false","Not Synced"
"0033j000047zkKKAAY","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000047zkKKAAY","Duplicate","Master: 0033j000047zkOYAAY","false","Not Synced"
"0033j000047zkOnAAI","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: 2023-10-17T19:16:38.000+0000:Sync_Status__c --","0033j000047zkOnAAI","Review","Missing Critical Info","false","2023-10-17T19:16:38.000+0000"
"0033j000048BbTJAA0","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000048BbTJAA0","Duplicate","Master: 0033j000048BbTNAA0","false","Not Synced"
"0033j000048BbUIAA0","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000048BbUIAA0","Duplicate","Master: 0033j000048BbZ2AAK","false","Not Synced"
"0033j000048BbYXAA0","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000048BbYXAA0","Duplicate","Master: 0032A00002az4E5QAI","false","Not Synced"
"0033j000048BqNgAAK","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000048BqNgAAK","Duplicate","Master: 0033j000042vie8AAA","false","Not Synced"
"0033j000048DKGhAAO","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000048DKGhAAO","Duplicate","Master: 0033j000048DKGfAAO","false","Not Synced"
"0033j000049FlGMAA0","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000049FlGMAA0","Duplicate","Master: 0033j00003u0eO9AAI","false","Not Synced"
"0033j000049FxdvAAC","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000049FxdvAAC","Duplicate","Master: 003Rh00000LawTHIAZ","false","Not Synced"
"0033j000049FxrIAAS","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000049FxrIAAS","Duplicate","Master: 0033j00003wOrENAA0","false","Not Synced"
"0033j000049FxrKAAS","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000049FxrKAAS","Duplicate","Master: 0033j00003wOrEVAA0","false","Not Synced"
"0033j000049G0QVAA0","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000049G0QVAA0","Duplicate","Master: 0032A00002az3ojQAA","false","Not Synced"
"0033j000049G7CqAAK","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000049G7CqAAK","Duplicate","Master: 003Rh000008xRSfIAM","false","Not Synced"
"0033j000049GAbtAAG","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000049GAbtAAG","Duplicate","Master: 0032A00002Z41UnQAJ","false","Not Synced"
"0033j000049GLJfAAO","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000049GLJfAAO","Duplicate","Master: 003Rh000000M3IdIAK","false","Not Synced"
"0033j000049GLQSAA4","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000049GLQSAA4","Duplicate","Master: 003Rh000004b4zSIAQ","false","Not Synced"
"0033j000049GNVfAAO","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000049GNVfAAO","Duplicate","Master: 003Rh000001HXnaIAG","false","Not Synced"
"0033j000049GRHJAA4","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000049GRHJAA4","Duplicate","Master: 0032A00002ayz47QAA","false","Not Synced"
"0033j000049GTJkAAO","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000049GTJkAAO","Duplicate","Master: 0033j00003gTzaDAAS","false","Not Synced"
"0033j000049GU3oAAG","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: New York:Sync_Status__c --","0033j000049GU3oAAG","OK","","false","New York"
"0033j000049GZgKAAW","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000049GZgKAAW","Duplicate","Master: 0032A00002azot8QAA","false","Not Synced"
"0033j000049Ga0mAAC","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000049Ga0mAAC","Duplicate","Master: 0033j00003ipMb5AAE","false","Not Synced"
"0033j000049GaIXAA0","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000049GaIXAA0","Duplicate","Master: 0033j000049GaISAA0","false","Not Synced"
"0033j000049GaIZAA0","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000049GaIZAA0","Duplicate","Master: 0033j000049GaIJAA0","false","Not Synced"
"0033j000049GfByAAK","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000049GfByAAK","Duplicate","Master: 0033j000049GUMIAA4","false","Not Synced"
"0033j000049GfBzAAK","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000049GfBzAAK","Duplicate","Master: 0033j000049GUMIAA4","false","Not Synced"
"0033j000049GfC1AAK","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000049GfC1AAK","Duplicate","Master: 0033j000049GUMIAA4","false","Not Synced"
"0033j000049GfC3AAK","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000049GfC3AAK","Duplicate","Master: 003Rh00000GGeMvIAL","false","Not Synced"
"0033j000049GfC4AAK","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000049GfC4AAK","Duplicate","Master: 0033j000049GUMIAA4","false","Not Synced"
"0033j000049GfCMAA0","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000049GfCMAA0","Duplicate","Master: 0032A00002az1cmQAA","false","Not Synced"
"0033j000049GfCNAA0","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000049GfCNAA0","Duplicate","Master: 0032A00002az1cmQAA","false","Not Synced"
"0033j000049GfCOAA0","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j000049GfCOAA0","Duplicate","Master: 0032A00002az1cmQAA","false","Not Synced"
