Id,Clean_Status__c,Delete_Reason__c
0032A00002az38oQAA,Delete,No Activity 3+ Years
0032A00002az38pQAA,Duplicate,Master: 003Rh000000fG5jIAE
0032A00002az38qQAA,OK,
0032A00002az38rQAA,Archive,Old Inactive Contact
0032A00002az38sQAA,Archive,Old Inactive Contact
0032A00002az38tQAA,Delete,No Activity 3+ Years
0032A00002az38uQAA,Delete,No Activity 3+ Years
0032A00002az38vQAA,OK,
0032A00002az38wQAA,Duplicate,Master: 0033j000047ZXQ8AAO
0032A00002az38xQAA,Archive,Old Inactive Contact
0032A00002az38yQAA,Delete,No Activity 3+ Years
0032A00002az38zQAA,Delete,No Activity 3+ Years
0032A00002az390QAA,Duplicate,Master: 0032A00002azqzBQAQ
0032A00002az391QAA,Delete,No Activity 3+ Years
0032A00002az393QAA,Delete,No Activity 3+ Years
0032A00002az394QAA,Duplicate,Master: 0033j00003ioamIAAQ
0032A00002az395QAA,Delete,No Activity 3+ Years
0032A00002az396QAA,Delete,No Activity 3+ Years
0032A00002az397QAA,Archive,Old Inactive Contact
0032A00002az398QAA,Delete,No Activity 3+ Years
0032A00002az399QAA,Delete,No Activity 3+ Years
0032A00002az39AQAQ,Archive,Old Inactive Contact
0032A00002az39BQAQ,Delete,No Activity 3+ Years
0032A00002az39CQAQ,Archive,Old Inactive Contact
0032A00002az39DQAQ,Archive,Old Inactive Contact
0032A00002az39EQAQ,Delete,No Activity 3+ Years
0032A00002az39FQAQ,Duplicate,Master: 0032A00002azmJ6QAI
0032A00002az39GQAQ,Delete,No Activity 3+ Years
0032A00002az39HQAQ,Delete,No Activity 3+ Years
0032A00002az39IQAQ,Delete,No Activity 3+ Years
0032A00002az39KQAQ,Delete,No Activity 3+ Years
0032A00002az39LQAQ,Duplicate,Master: 0032A00002azqRnQAI
0032A00002az39MQAQ,Archive,Old Inactive Contact
0032A00002az39NQAQ,Duplicate,Master: 0032A00002Zs9eTQAR
0032A00002az39OQAQ,Delete,No Activity 3+ Years
0032A00002az39PQAQ,Duplicate,Master: 003Rh000002J9bDIAS
0032A00002az39QQAQ,Duplicate,Master: 0032A00002ayz9rQAA
0032A00002az39RQAQ,Delete,No Activity 3+ Years
0032A00002az39TQAQ,Archive,Old Inactive Contact
0032A00002az39UQAQ,Delete,No Activity 3+ Years
0032A00002az39VQAQ,OK,
0032A00002az39WQAQ,Duplicate,Master: 0032A00002az0DuQAI
0032A00002az39XQAQ,Delete,No Activity 3+ Years
0032A00002az39YQAQ,Delete,No Activity 3+ Years
0032A00002az39ZQAQ,Delete,No Activity 3+ Years
0032A00002az39aQAA,Duplicate,Master: 003Rh000000fG5jIAE
0032A00002az39bQAA,Delete,No Activity 3+ Years
0032A00002az39cQAA,OK,
0032A00002az39dQAA,Delete,No Activity 3+ Years
0032A00002az39eQAA,Delete,No Activity 3+ Years
0032A00002az39fQAA,Delete,No Activity 3+ Years
0032A00002az39gQAA,Duplicate,Master: 0032A00002ayyjeQAA
0032A00002az39iQAA,Delete,No Activity 3+ Years
0032A00002az39jQAA,Delete,No Activity 3+ Years
0032A00002az39kQAA,Delete,No Activity 3+ Years
0032A00002az39lQAA,Delete,No Activity 3+ Years
0032A00002az39mQAA,Delete,No Activity 3+ Years
0032A00002az39nQAA,Delete,No Activity 3+ Years
