Id,Clean_Status__c,Delete_Reason__c,Sync_Status__c
0032A00002RGtFPQA1,Duplicate,Master: 0032A00002T8SYJQA3,Not Synced
0032A00002RGtOvQAL,Delete,No Activity 3+ Years,Not Synced
0032A00002RGtPZQA1,Delete,No Activity 3+ Years,Not Synced
0032A00002RGuUzQAL,Delete,No Activity 3+ Years,Not Synced
0032A00002RGubbQAD,Delete,No Activity 3+ Years,Not Synced
0032A00002RGv2IQAT,Delete,No Activity 3+ Years,Not Synced
0032A00002RGwIbQAL,Archive,Old Inactive Contact,Not Synced
0032A00002RGwTKQA1,Delete,No Activity 3+ Years,Not Synced
0032A00002RGwdeQAD,Delete,No Activity 3+ Years,Not Synced
0032A00002RGxXAQA1,Delete,No Activity 3+ Years,Not Synced
0032A00002RGxjzQAD,Delete,No Activity 3+ Years,Not Synced
0032A00002RGxlbQAD,OK,,Not Synced
0032A00002RGy9fQAD,Delete,No Activity 3+ Years,Not Synced
0032A00002RGyRKQA1,Delete,No Activity 3+ Years,Not Synced
0032A00002RGyV2QAL,Delete,No Activity 3+ Years,Not Synced
0032A00002RGyWtQAL,Delete,No Activity 3+ Years,Not Synced
0032A00002RGynLQAT,Archive,Old Inactive Contact,Not Synced
0032A00002RGzHVQA1,Archive,Old Inactive Contact,Not Synced
0032A00002RHA6DQAX,OK,,Not Synced
0032A00002RHAYSQA5,Duplicate,Master: 0032A00002RHAaTQAX,Not Synced
0032A00002RHAaTQAX,OK,,Not Synced
0032A00002RHAopQAH,Archive,Old Inactive Contact,Not Synced
0032A00002RHByNQAX,Archive,Old Inactive Contact,Not Synced
0032A00002RHBzzQAH,Delete,No Activity 3+ Years,Not Synced
0032A00002RHC1WQAX,Delete,No Activity 3+ Years,Not Synced
0032A00002RHCI3QAP,Archive,Old Inactive Contact,Not Synced
0032A00002RHEEnQAP,Archive,Old Inactive Contact,Not Synced
0032A00002RHEFHQA5,Archive,Old Inactive Contact,Not Synced
0032A00002RHEGpQAP,Archive,Old Inactive Contact,Not Synced
0032A00002RHEOOQA5,Archive,Old Inactive Contact,Not Synced
0032A00002RHEZ7QAP,Archive,Old Inactive Contact,Not Synced
0032A00002RHEb8QAH,OK,,Not Synced
0032A00002RHEjCQAX,OK,,Not Synced
0032A00002RHExYQAX,Delete,No Activity 3+ Years,Not Synced
0032A00002RHEzeQAH,Delete,No Activity 3+ Years,Not Synced
0032A00002RHF0DQAX,Delete,No Activity 3+ Years,Not Synced
0032A00002RHFL1QAP,Archive,Old Inactive Contact,Not Synced
0032A00002RHQqQQAX,OK,,Not Synced
0032A00002RHSLKQA5,Delete,No Activity 3+ Years,Not Synced
0032A00002RHSr1QAH,Archive,Old Inactive Contact,Not Synced
0032A00002RHT3IQAX,OK,,Not Synced
0032A00002RHTJ5QAP,Duplicate,Master: 0032A00002Zkv5GQAR,Not Synced
0032A00002RHVpUQAX,Delete,No Activity 3+ Years,Not Synced
0032A00002RHW1GQAX,Archive,Old Inactive Contact,Not Synced
0032A00002RHXQHQA5,Archive,Old Inactive Contact,Not Synced
0032A00002RHXu7QAH,Archive,Old Inactive Contact,Not Synced
0032A00002RHY1rQAH,Archive,Old Inactive Contact,Not Synced
0032A00002RJx43QAD,Archive,Old Inactive Contact,Not Synced
0032A00002RJy1jQAD,Archive,Old Inactive Contact,Not Synced
0032A00002RJyiPQAT,Delete,No Activity 3+ Years,Not Synced
0032A00002RJyo2QAD,Delete,No Activity 3+ Years,Not Synced
0032A00002RJys4QAD,Delete,No Activity 3+ Years,Not Synced
0032A00002RJzK3QAL,Delete,No Activity 3+ Years,Not Synced
0032A00002RK2GaQAL,Delete,No Activity 3+ Years,Not Synced
0032A00002RK3PUQA1,Archive,Old Inactive Contact,Not Synced
0032A00002RK4mJQAT,Delete,No Activity 3+ Years,Not Synced
0032A00002RK4q1QAD,Delete,No Activity 3+ Years,Not Synced
0032A00002RK4umQAD,Delete,No Activity 3+ Years,Not Synced
0032A00002RK58KQAT,Archive,Old Inactive Contact,Not Synced
0032A00002RK9cyQAD,Delete,No Activity 3+ Years,Not Synced
0032A00002RK9h0QAD,Delete,No Activity 3+ Years,Not Synced
0032A00002RKAeMQAX,Delete,No Activity 3+ Years,Not Synced
0032A00002RKc6KQAT,Archive,Old Inactive Contact,Not Synced
0032A00002RKdE0QAL,Archive,Old Inactive Contact,Not Synced
0032A00002RKeYmQAL,Delete,No Activity 3+ Years,Not Synced
0032A00002RKfQKQA1,Archive,Old Inactive Contact,Not Synced
0032A00002RKftvQAD,Delete,No Activity 3+ Years,Not Synced
0032A00002RKh3IQAT,Archive,Old Inactive Contact,Not Synced
0032A00002RKhFTQA1,Delete,No Activity 3+ Years,Not Synced
0032A00002RKl03QAD,Archive,Old Inactive Contact,Not Synced
0032A00002RKmf6QAD,Delete,No Activity 3+ Years,Not Synced
0032A00002RKn3XQAT,Delete,No Activity 3+ Years,Not Synced
0032A00002RKn9zQAD,Delete,No Activity 3+ Years,Not Synced
0032A00002RKnCUQA1,OK,,Not Synced
0032A00002RKnJMQA1,Delete,No Activity 3+ Years,Not Synced
0032A00002RKqPlQAL,OK,,Not Synced
0032A00002RKqQoQAL,OK,,Not Synced
0032A00002RKrQQQA1,Delete,No Activity 3+ Years,Not Synced
0032A00002RKsytQAD,Archive,Old Inactive Contact,Not Synced
0032A00002RLEdzQAH,Delete,No Activity 3+ Years,Not Synced
0032A00002RLK2xQAH,OK,,Not Synced
0032A00002RLKp5QAH,Delete,No Activity 3+ Years,Not Synced
0032A00002RLLbiQAH,Archive,Old Inactive Contact,Not Synced
0032A00002RLLmHQAX,Archive,Old Inactive Contact,Not Synced
0032A00002RLMiBQAX,Archive,Old Inactive Contact,Not Synced
0032A00002RlUwNQAV,OK,,Not Synced
0032A00002RlV68QAF,Archive,Old Inactive Contact,Not Synced
0032A00002RlWUzQAN,Archive,Old Inactive Contact,Not Synced
0032A00002RlXFCQA3,OK,,Not Synced
0032A00002RlXr1QAF,Archive,Old Inactive Contact,Not Synced
0032A00002RlYaBQAV,Delete,No Activity 3+ Years,Not Synced
0032A00002RlZchQAF,OK,,Not Synced
0032A00002RlZyEQAV,Archive,Old Inactive Contact,Not Synced
0032A00002Rla50QAB,Archive,Old Inactive Contact,Not Synced
0032A00002RlaKAQAZ,Archive,Old Inactive Contact,Not Synced
0032A00002RllWIQAZ,Archive,Old Inactive Contact,Not Synced
0032A00002RllxZQAR,Archive,Old Inactive Contact,Not Synced
0032A00002Rlop4QAB,Delete,No Activity 3+ Years,Not Synced
0032A00002RlpL0QAJ,OK,,Not Synced
0032A00002RlqaUQAR,Archive,Old Inactive Contact,Not Synced
0032A00002RlqfUQAR,Delete,No Activity 3+ Years,Not Synced
0032A00002RlqhVQAR,Archive,Old Inactive Contact,Not Synced
0032A00002Rlqs4QAB,Delete,No Activity 3+ Years,Not Synced
0032A00002RlrLGQAZ,Delete,No Activity 3+ Years,Not Synced
0032A00002RlrTlQAJ,Delete,No Activity 3+ Years,Not Synced
0032A00002Rlrh4QAB,Delete,No Activity 3+ Years,Not Synced
0032A00002Rlro5QAB,Delete,No Activity 3+ Years,Not Synced
0032A00002RlrooQAB,Archive,Old Inactive Contact,Not Synced
0032A00002RlrwyQAB,Archive,Old Inactive Contact,Not Synced
0032A00002RlsNtQAJ,OK,,Not Synced
0032A00002RlsTmQAJ,Archive,Old Inactive Contact,Not Synced
0032A00002RlsddQAB,Archive,Old Inactive Contact,Not Synced
0032A00002Rlsj6QAB,Delete,No Activity 3+ Years,Not Synced
0032A00002RlsmyQAB,OK,,Not Synced
0032A00002RlsuJQAR,Archive,Old Inactive Contact,Not Synced
0032A00002Rlt3fQAB,Archive,Old Inactive Contact,Not Synced
0032A00002RltjHQAR,Delete,No Activity 3+ Years,Not Synced
0032A00002RltkoQAB,Delete,No Activity 3+ Years,Not Synced
0032A00002RlujxQAB,Archive,Old Inactive Contact,Not Synced
0032A00002RluskQAB,Archive,Old Inactive Contact,Not Synced
0032A00002Rm4uvQAB,Archive,Old Inactive Contact,Not Synced
0032A00002Rm563QAB,Archive,Old Inactive Contact,Not Synced
0032A00002Rm5bLQAR,Archive,Old Inactive Contact,Not Synced
0032A00002Rm5zDQAR,OK,,Not Synced
0032A00002Rm6EXQAZ,Delete,No Activity 3+ Years,Not Synced
0032A00002Rm6RJQAZ,Delete,No Activity 3+ Years,Not Synced
0032A00002Rm6aaQAB,Archive,Old Inactive Contact,Not Synced
0032A00002Rm8D9QAJ,Archive,Old Inactive Contact,Not Synced
0032A00002Rm8bCQAR,Archive,Old Inactive Contact,Not Synced
0032A00002Rm8fnQAB,Archive,Old Inactive Contact,Not Synced
0032A00002Rm8hyQAB,Delete,No Activity 3+ Years,Not Synced
0032A00002Rm8kdQAB,Delete,No Activity 3+ Years,Not Synced
0032A00002Rm8lqQAB,Archive,Old Inactive Contact,Not Synced
0032A00002Rm8mjQAB,Delete,No Activity 3+ Years,Not Synced
0032A00002Rm8vvQAB,Archive,Old Inactive Contact,Not Synced
0032A00002Rm8yLQAR,Delete,No Activity 3+ Years,Not Synced
0032A00002Rm9OJQAZ,Archive,Old Inactive Contact,Not Synced
0032A00002Rm9UgQAJ,Archive,Old Inactive Contact,Not Synced
0032A00002Rm9Y4QAJ,Archive,Old Inactive Contact,Not Synced
