Id,Clean_Status__c,Delete_Reason__c,In_HubSpot_Not_Inclusion_List__c,Sync_Status__c
0032A00002Y9zCUQAZ,Archive,Old Inactive Contact,false,Not Synced
0032A00002Y9zWJQAZ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002YA1wTQAT,OK,,false,Not Synced
0032A00002YA8HeQAL,Archive,Old Inactive Contact,false,Not Synced
0032A00002YBBCVQA5,Archive,Old Inactive Contact,false,Not Synced
0032A00002YBC6TQAX,Archive,Old Inactive Contact,false,Not Synced
0032A00002YBCcUQAX,Archive,Old Inactive Contact,false,Not Synced
0032A00002YBDNWQA5,Archive,Old Inactive Contact,false,Not Synced
0032A00002YBDOxQAP,Archive,Old Inactive Contact,false,Not Synced
0032A00002YBV5mQAH,Archive,Old Inactive Contact,false,Not Synced
0032A00002YSwpNQAT,Delete,No Activity 3+ Years,false,Not Synced
0032A00002YT04MQAT,Archive,Old Inactive Contact,false,Not Synced
0032A00002YTNpEQAX,Delete,No Activity 3+ Years,false,Not Synced
0032A00002YTTakQAH,Delete,No Activity 3+ Years,false,Not Synced
0032A00002YTU2FQAX,Archive,Old Inactive Contact,false,Not Synced
0032A00002YTX0WQAX,OK,,false,Not Synced
0032A00002YTX3ZQAX,Delete,No Activity 3+ Years,false,Not Synced
0032A00002YTiLEQA1,OK,,false,Not Synced
0032A00002YUBZOQA5,OK,,false,Not Synced
0032A00002YUBeiQAH,Archive,Old Inactive Contact,false,Not Synced
0032A00002YUEPRQA5,Delete,No Activity 3+ Years,false,Not Synced
0032A00002YUIkqQAH,Archive,Old Inactive Contact,false,Not Synced
0032A00002YUIsBQAX,Delete,No Activity 3+ Years,false,Not Synced
0032A00002YUJJRQA5,Archive,Old Inactive Contact,false,Not Synced
0032A00002YUKWRQA5,Archive,Old Inactive Contact,false,Not Synced
0032A00002YUPoGQAX,Archive,Old Inactive Contact,false,Not Synced
0032A00002YUvl1QAD,Delete,No Activity 3+ Years,false,Not Synced
0032A00002YUzvPQAT,Delete,No Activity 3+ Years,false,Not Synced
0032A00002YV0qkQAD,OK,,false,Not Synced
0032A00002YV3bEQAT,Archive,Old Inactive Contact,false,Not Synced
0032A00002YVuHNQA1,OK,,false,Not Synced
0032A00002YW9nBQAT,Archive,Old Inactive Contact,false,Not Synced
0032A00002YWfWbQAL,OK,,false,Not Synced
0032A00002YWg8fQAD,Delete,No Activity 3+ Years,false,Not Synced
0032A00002YWgX6QAL,OK,,false,Not Synced
0032A00002YWhowQAD,Duplicate,Master: 0032A00002YicGoQAJ,false,Not Synced
0032A00002YWiiQQAT,Archive,Old Inactive Contact,false,Not Synced
0032A00002YWjNxQAL,Archive,Old Inactive Contact,false,Not Synced
0032A00002YWl2XQAT,Delete,No Email or Phone,false,Not Synced
0032A00002YWsTLQA1,Archive,Old Inactive Contact,false,Not Synced
0032A00002YfIhhQAF,Delete,No Activity 3+ Years,false,Not Synced
0032A00002YfJs7QAF,Delete,No Activity 3+ Years,false,Not Synced
0032A00002YfL9YQAV,Delete,No Activity 3+ Years,false,Not Synced
0032A00002YfLBUQA3,OK,,false,Not Synced
0032A00002YfLnEQAV,Delete,No Activity 3+ Years,false,Not Synced
0032A00002YfMX2QAN,Delete,No Activity 3+ Years,false,Not Synced
0032A00002YfO6cQAF,OK,,false,Not Synced
0032A00002YfPZVQA3,Archive,Old Inactive Contact,false,Not Synced
0032A00002Yfkl6QAB,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Yfl1IQAR,Archive,Old Inactive Contact,false,Not Synced
0032A00002YflubQAB,Archive,Old Inactive Contact,false,Not Synced
0032A00002YfnrPQAR,Delete,No Activity 3+ Years,false,Not Synced
0032A00002YfpjhQAB,Archive,Old Inactive Contact,false,Not Synced
0032A00002Yfpm8QAB,Delete,No Activity 3+ Years,false,Not Synced
0032A00002YfprRQAR,Delete,No Activity 3+ Years,false,Not Synced
0032A00002YfrUyQAJ,Archive,Old Inactive Contact,false,Not Synced
0032A00002YfyqcQAB,Archive,Old Inactive Contact,false,Not Synced
0032A00002YfzjwQAB,Archive,Old Inactive Contact,false,Not Synced
0032A00002Yg04bQAB,Archive,Old Inactive Contact,false,Not Synced
0032A00002Yg0JBQAZ,Archive,Old Inactive Contact,false,Not Synced
0032A00002Yg0LWQAZ,OK,,false,Not Synced
0032A00002Yg1MGQAZ,OK,,false,Not Synced
