Id,Clean_Status__c,Delete_Reason__c,Sync_Status__c
0033j00004B1pXXAAZ,Duplicate,Master: 0033j00004B1pXSAAZ,Not Synced
0033j00004B1pXeAAJ,OK,,
0033j00004B1pXgAAJ,Duplicate,Master: 0033j00004B1pXeAAJ,Not Synced
0033j00004B1pXhAAJ,Duplicate,Master: 0033j00004B1pXeAAJ,Not Synced
0033j00004B1pXiAAJ,Duplicate,Master: 0033j00004B1pXeAAJ,Not Synced
0033j00004B1pYuAAJ,OK,,
0033j00004B1pYzAAJ,Duplicate,Master: 0033j00004B1pYuAAJ,Not Synced
0033j00004B1pZ3AAJ,Duplicate,Master: 0033j00004B1pZAAAZ,Not Synced
0033j00004B1pZ4AAJ,Duplicate,Master: 0033j00004B1pZAAAZ,Not Synced
0033j00004B1pZAAAZ,OK,,
0033j00004B1pZCAAZ,Duplicate,Master: 0033j00004B1pZAAAZ,Not Synced
0033j00004B1pZEAAZ,OK,,
0033j00004B1pZIAAZ,Duplicate,Master: 0033j00004B1pZTAAZ,Not Synced
0033j00004B1pZJAAZ,Duplicate,Master: 0033j00004B1pZTAAZ,Not Synced
0033j00004B1pZLAAZ,Duplicate,Master: 0033j00004B1pZTAAZ,Not Synced
0033j00004B1pZMAAZ,Duplicate,Master: 0033j00004B1pZTAAZ,Not Synced
0033j00004B1pZNAAZ,Duplicate,Master: 0033j00004B1pZTAAZ,Not Synced
0033j00004B1pZOAAZ,Duplicate,Master: 0033j00004B1pZTAAZ,Not Synced
0033j00004B1pZQAAZ,Duplicate,Master: 0033j00004B1pZTAAZ,Not Synced
0033j00004B1pZSAAZ,Duplicate,Master: 0033j00004B1pZTAAZ,Not Synced
0033j00004B1pZTAAZ,OK,,
0033j00004B1pZVAAZ,Duplicate,Master: 0033j00004B1pZTAAZ,Not Synced
0033j00004B1pZWAAZ,Duplicate,Master: 0033j00004B1pZTAAZ,Not Synced
0033j00004B1pZXAAZ,Duplicate,Master: 0033j00004B1pZTAAZ,Not Synced
0033j00004B1pZYAAZ,Duplicate,Master: 0033j00004B1pZTAAZ,Not Synced
0033j00004B1pZZAAZ,Duplicate,Master: 0033j00004B1pZTAAZ,Not Synced
0033j00004B1pZaAAJ,Duplicate,Master: 0033j00004B1pZTAAZ,Not Synced
